"PRODUCT NUMBER MANIFEST",,,"(Unofficial version, 10 August 2006)",,,,,,,,,
,,,,,,,,,,,,
"Product No.","Product Name",,,"Legacy Code",,,,,,,,
20041,"US Forecast Highlights",,,"F=EFORHI",,"<topic human=""US Forecast Highlights"" code=""F=EFORHI"" num=""20041"" />",,,,,,
20042,"US Forecast Survey",,,"F=EFORC1",,"<topic human=""US Forecast Survey"" code=""F=EFORC1"" num=""20042"" />",,,,,,
20043,,,,"F=EFIRHI",,"<topic human="""" code=""F=EFIRHI"" num=""20043"" />",,,,,,
20044,,,,"F=GBICAL",,"<topic human="""" code=""F=GBICAL"" num=""20044"" />",,,,,,
20045,,,,"F=GEXCAL",,"<topic human="""" code=""F=GEXCAL"" num=""20045"" />",,,,,,
20046,"Germany Data Calendar",,,"F=GERCAL",,"<topic human=""Germany Data Calendar"" code=""F=GERCAL"" num=""20046"" />",,,,,,
20047,,,,"F=GEICAL",,"<topic human="""" code=""F=GEICAL"" num=""20047"" />",,,,,,
20048,,,,"F=DERINS",,"<topic human="""" code=""F=DERINS"" num=""20048"" />",,,,,,
20049,,,,"F=EFORC2",,"<topic human="""" code=""F=EFORC2"" num=""20049"" />",,,,,,
20050,"?? Corp. Bond Chat?",,,"F=AWATCH",,"<topic human=""?? Corp. Bond Chat?"" code=""F=AWATCH"" num=""20050"" />",,,,,,
20051,,,,"F=FXVIEY",,"<topic human="""" code=""F=FXVIEY"" num=""20051"" />",,,,,,
20052,,,,"F=FXVIEX",,"<topic human="""" code=""F=FXVIEX"" num=""20052"" />",,,,,,
20053,,,,"F=FXVIEW",,"<topic human="""" code=""F=FXVIEW"" num=""20053"" />",,,,,,
20054,,,,"F=CAXCAL",,"<topic human="""" code=""F=CAXCAL"" num=""20054"" />",,,,,,
20055,"Canada Data Calendar",,,"F=CANCAL",,"<topic human=""Canada Data Calendar"" code=""F=CANCAL"" num=""20055"" />",,,,,,
20056,,,,"F=CAICAL",,"<topic human="""" code=""F=CAICAL"" num=""20056"" />",,,,,,
20057,"UK Key Indicators Summary",,,"F=UKCNDT",,"<topic human=""UK Key Indicators Summary"" code=""F=UKCNDT"" num=""20057"" />",,,,,,
