"PRODUCT NUMBER MANIFEST",,,"(Unofficial version, 10 August 2006)",,,,,,,,,
,,,,,,,,,,,,
"Product No.","Product Name",,,"Legacy Code",,,,,,,,
30034,"EURIBOR",,,"S=X10034",,"<topic human="""" code=""S=X10034"" num=""30034"" />",,,,,,
30035,"EURO",,,"S=X10035",,"<topic human="""" code=""S=X10035"" num=""30035"" />",,,,,,
30036,"EURO-DOLLAR",,,"S=XEUUSD",,"<topic human="""" code=""S=XEUUSD"" num=""30036"" />",,,,,,
30037,"EURO-DOLLAR TECHS",,,"S=XEUUST",,"<topic human="""" code=""S=XEUUST"" num=""30037"" />",,,,,,
30038,"EURO-NOK",,,"S=X10038",,"<topic human="""" code=""S=X10038"" num=""30038"" />",,,,,,
30039,"EURO SUMMARY",,,"S=XEUEUR",,"<topic human="""" code=""S=XEUEUR"" num=""30039"" />",,,,,,
30040,"EUROPE",,,"S=X10040",,"<topic human="""" code=""S=X10040"" num=""30040"" />",,,,,,
30041,"EUROPE DATA PREVIEW",,,"S=X10041",,"<topic human="""" code=""S=X10041"" num=""30041"" />",,,,,,
30042,"EUROPE PREVIEW",,,"S=X10042",,"<topic human="""" code=""S=X10042"" num=""30042"" />",,,,,,
30043,"EUROPE SPEAKERS",,,"S=X10043",,"<topic human="""" code=""S=X10043"" num=""30043"" />",,,,,,
30044,"EUROPEAN COMMENTS",,,"S=X10044",,"<topic human="""" code=""S=X10044"" num=""30044"" />",,,,,,
30045,"EUROPEAN DATA",,,"S=X10045",,"<topic human="""" code=""S=X10045"" num=""30045"" />",,,,,,
30046,"EUROPEAN PRESS",,,"S=X10046",,"<topic human="""" code=""S=X10046"" num=""30046"" />",,,,,,
30047,"EUROPEAN STOCK UPDATE",,,"S=X10047",,"<topic human="""" code=""S=X10047"" num=""30047"" />",,,,,,
30048,"EUROPEAN STOCKS",,,"S=X10048",,"<topic human="""" code=""S=X10048"" num=""30048"" />",,,,,,
30049,"EURO-SEK",,,"S=X10049",,"<topic human="""" code=""S=X10049"" num=""30049"" />",,,,,,
30050,"EURO-STERLING",,,"S=X10050",,"<topic human="""" code=""S=X10050"" num=""30050"" />",,,,,,
30051,"EURO-STERLING TECHS",,,"S=X10051",,"<topic human="""" code=""S=X10051"" num=""30051"" />",,,,,,
30052,"EUROSWISS",,,"S=X10052",,"<topic human="""" code=""S=X10052"" num=""30052"" />",,,,,,
30053,"EURO-SWISS",,,"S=X10053",,"<topic human="""" code=""S=X10053"" num=""30053"" />",,,,,,
30054,"EURO-SWISS TECHS",,,"S=X10054",,"<topic human="""" code=""S=X10054"" num=""30054"" />",,,,,,
30055,"EURO-YEN",,,"S=XEUJPC",,"<topic human="""" code=""S=XEUJPC"" num=""30055"" />",,,,,,
30056,"EURO-YEN TECHS",,,"S=X10056",,"<topic human="""" code=""S=X10056"" num=""30056"" />",,,,,,
30057,"EUROZONE",,,"S=X10057",,"<topic human="""" code=""S=X10057"" num=""30057"" />",,,,,,
30058,"EUROZONE DATA",,,"S=X10058",,"<topic human="""" code=""S=X10058"" num=""30058"" />",,,,,,
30059,"EUROZONE ISSUANCE",,,"S=X10059",,"<topic human="""" code=""S=X10059"" num=""30059"" />",,,,,,
30060,"FED",,,"S=X10060",,"<topic human="""" code=""S=X10060"" num=""30060"" />",,,,,,
30061,"FOMC",,,"S=X10061",,"<topic human="""" code=""S=X10061"" num=""30061"" />",,,,,,
30062,"FRANCE",,,"S=X10062",,"<topic human="""" code=""S=X10062"" num=""30062"" />",,,,,,
30063,"FRANCE DATA",,,"S=X10063",,"<topic human="""" code=""S=X10063"" num=""30063"" />",,,,,,
30064,"FRANCE PRESS",,,"S=X10064",,"<topic human="""" code=""S=X10064"" num=""30064"" />",,,,,,
30065,"GERMAN DATA",,,"S=X10065",,"<topic human="""" code=""S=X10065"" num=""30065"" />",,,,,,
30066,"GERMAN PRESS",,,"S=XGRMED",,"<topic human="""" code=""S=XGRMED"" num=""30066"" />",,,,,,
30067,"GERMANY",,,"S=X10067",,"<topic human="""" code=""S=X10067"" num=""30067"" />",,,,,,
30068,"GILTS",,,"S=X10068",,"<topic human="""" code=""S=X10068"" num=""30068"" />",,,,,,
30069,"GOLD",,,"S=X10069",,"<topic human="""" code=""S=X10069"" num=""30069"" />",,,,,,
30070,"HONG KONG",,,"S=X10070",,"<topic human="""" code=""S=X10070"" num=""30070"" />",,,,,,
30071,"IMM DATA",,,"S=X10071",,"<topic human="""" code=""S=X10071"" num=""30071"" />",,,,,,
30072,"ITALY",,,"S=X10072",,"<topic human="""" code=""S=X10072"" num=""30072"" />",,,,,,
30073,"ITALY DATA",,,"S=X10073",,"<topic human="""" code=""S=X10073"" num=""30073"" />",,,,,,
30074,"ITALY PRESS",,,"S=X10074",,"<topic human="""" code=""S=X10074"" num=""30074"" />",,,,,,
30075,"JAPAN",,,"S=XJPXXX",,"<topic human="""" code=""S=XJPXXX"" num=""30075"" />",,,,,,
30076,"JAPAN COMMENTS",,,"S=X10076",,"<topic human="""" code=""S=X10076"" num=""30076"" />",,,,,,
30077,"JAPAN DATA",,,"S=X10077",,"<topic human="""" code=""S=X10077"" num=""30077"" />",,,,,,
30078,"JAPAN PRESS",,,"S=XJPMED",,"<topic human="""" code=""S=XJPMED"" num=""30078"" />",,,,,,
30079,"JAPAN STOCKS",,,"S=XJPSTO",,"<topic human="""" code=""S=XJPSTO"" num=""30079"" />",,,,,,
30080,"JGBS",,,"S=XJPJGB",,"<topic human="""" code=""S=XJPJGB"" num=""30080"" />",,,,,,
30081,"JGB SUMMARY",,,"S=XJPJGS",,"<topic human="""" code=""S=XJPJGS"" num=""30081"" />",,,,,,
30082,"KIWI",,,"S=XAUGEN",,"<topic human="""" code=""S=XAUGEN"" num=""30082"" />",,,,,,
30083,"KOF",,,"S=X10083",,"<topic human="""" code=""S=X10083"" num=""30083"" />",,,,,,
30084,"LONDON",,,"S=X10084",,"<topic human="""" code=""S=X10084"" num=""30084"" />",,,,,,
30085,"LOOK AHEAD",,,"S=X10085",,"<topic human="""" code=""S=X10085"" num=""30085"" />",,,,,,
30086,"M&A REPORTS",,,"S=X10086",,"<topic human="""" code=""S=X10086"" num=""30086"" />",,,,,,
30087,"MARKET TALK",,,"S=X10087",,"<topic human="""" code=""S=X10087"" num=""30087"" />",,,,,,
30088,"MNI BOBL TECHS",,,"S=X10088",,"<topic human="""" code=""S=X10088"" num=""30088"" />",,,,,,
30089,"MNI BUND TECHS",,,"S=X10089",,"<topic human="""" code=""S=X10089"" num=""30089"" />",,,,,,
30090,"MNI CABLE TECHS",,,"S=X10090",,"<topic human="""" code=""S=X10090"" num=""30090"" />",,,,,,
30091,"MNI DOLLAR-SWISS TECHS",,,"S=X10091",,"<topic human="""" code=""S=X10091"" num=""30091"" />",,,,,,
30092,"MNI DOLLAR-YEN TECHS",,,"S=X10092",,"<topic human="""" code=""S=X10092"" num=""30092"" />",,,,,,
30093,"MNI EURIBOR TECHS",,,"S=X10093",,"<topic human="""" code=""S=X10093"" num=""30093"" />",,,,,,
30094,"MNI EURO-DOLLAR TECHS",,,"S=X10094",,"<topic human="""" code=""S=X10094"" num=""30094"" />",,,,,,
30095,"MNI EURO-STERLING TECHS",,,"S=X10095",,"<topic human="""" code=""S=X10095"" num=""30095"" />",,,,,,
30096,"MNI EURO-SWISS TECHS",,,"S=X10096",,"<topic human="""" code=""S=X10096"" num=""30096"" />",,,,,,
30097,"MNI EURO-YEN TECHS",,,"S=X10097",,"<topic human="""" code=""S=X10097"" num=""30097"" />",,,,,,
30098,"MNI GILT TECHS",,,"S=X10098",,"<topic human="""" code=""S=X10098"" num=""30098"" />",,,,,,
30099,"MNI SCHATZ TECHS",,,"S=X10099",,"<topic human="""" code=""S=X10099"" num=""30099"" />",,,,,,
30100,"MNI SHORT-STERLING TECHS",,,"S=X10100",,"<topic human="""" code=""S=X10100"" num=""30100"" />",,,,,,
30101,"NEW ISSUE",,,"S=X10101",,"<topic human="""" code=""S=X10101"" num=""30101"" />",,,,,,
30102,"NEW YORK",,,"S=X10102",,"<topic human="""" code=""S=X10102"" num=""30102"" />",,,,,,
30103,"NOK",,,"S=X10103",,"<topic human="""" code=""S=X10103"" num=""30103"" />",,,,,,
30104,"NORGES BANK",,,"S=X10104",,"<topic human="""" code=""S=X10104"" num=""30104"" />",,,,,,
30105,"NORWAY",,,"S=X10105",,"<topic human="""" code=""S=X10105"" num=""30105"" />",,,,,,
30106,"OIL",,,"S=X10106",,"<topic human="""" code=""S=X10106"" num=""30106"" />",,,,,,
30107,"PIPELINE",,,"S=X10107",,"<topic human="""" code=""S=X10107"" num=""30107"" />",,,,,,
30108,"PRESS",,,"S=X10108",,"<topic human="""" code=""S=X10108"" num=""30108"" />",,,,,,
30109,"REACT",,,"S=X10109",,"<topic human="""" code=""S=X10109"" num=""30109"" />",,,,,,
30110,"RIKSBANK",,,"S=X10110",,"<topic human="""" code=""S=X10110"" num=""30110"" />",,,,,,
30111,"SCANDIs",,,"S=X10111",,"<topic human="""" code=""S=X10111"" num=""30111"" />",,,,,,
30112,"SCHATZ",,,"S=X10112",,"<topic human="""" code=""S=X10112"" num=""30112"" />",,,,,,
30113,"SEK",,,"S=X10113",,"<topic human="""" code=""S=X10113"" num=""30113"" />",,,,,,
30114,"SHORT-STERLING",,,"S=X10114",,"<topic human="""" code=""S=X10114"" num=""30114"" />",,,,,,
30115,"SNB",,,"S=X10115",,"<topic human="""" code=""S=X10115"" num=""30115"" />",,,,,,
30116,"SPAIN",,,"S=X10116",,"<topic human="""" code=""S=X10116"" num=""30116"" />",,,,,,
30117,"SPAIN DATA",,,"S=X10117",,"<topic human="""" code=""S=X10117"" num=""30117"" />",,,,,,
30118,"STERLING",,,"S=X10118",,"<topic human="""" code=""S=X10118"" num=""30118"" />",,,,,,
30119,"STIR FUTURES",,,"S=X10119",,"<topic human="""" code=""S=X10119"" num=""30119"" />",,,,,,
30120,"STOCKS",,,"S=AXXSTO",,"<topic human="""" code=""S=AXXSTO"" num=""30120"" />",,,,,,
30121,"SWEDEN",,,"S=X10121",,"<topic human="""" code=""S=X10121"" num=""30121"" />",,,,,,
30122,"SWISS",,,"S=X10122",,"<topic human="""" code=""S=X10122"" num=""30122"" />",,,,,,
30123,"SWISS",,,"S=X10123",,"<topic human="""" code=""S=X10123"" num=""30123"" />",,,,,,
30124,"SWITZERLAND",,,"S=X10124",,"<topic human="""" code=""S=X10124"" num=""30124"" />",,,,,,
30125,"TERROR ALERT",,,"S=X10125",,"<topic human="""" code=""S=X10125"" num=""30125"" />",,,,,,
30126,"TSYS",,,"S=BUSTSY",,"<topic human="""" code=""S=BUSTSY"" num=""30126"" />",,,,,,
30127,"TSY'S",,,"S=BUSTSY",,"<topic human="""" code=""S=BUSTSY"" num=""30127"" />",,,,,,
30128,"UK DATA",,,"S=X10128",,"<topic human="""" code=""S=X10128"" num=""30128"" />",,,,,,
30129,"UK",,,"S=XUKXXX",,"<topic human="""" code=""S=XUKXXX"" num=""30129"" />",,,,,,
30130,"UK PRESS",,,"S=XUKMED",,"<topic human="""" code=""S=XUKMED"" num=""30130"" />",,,,,,
30131,"UK PREVIEW",,,"S=X10131",,"<topic human="""" code=""S=X10131"" num=""30131"" />",,,,,,
30132,"US",,,"S=X10132",,"<topic human="""" code=""S=X10132"" num=""30132"" />",,,,,,
30133,"US DATA",,,"S=X10133",,"<topic human="""" code=""S=X10133"" num=""30133"" />",,,,,,
30134,"US DATA PREVIEW",,,"S=X10134",,"<topic human="""" code=""S=X10134"" num=""30134"" />",,,,,,
30135,"US INDEX FUTURES",,,"S=X10135",,"<topic human="""" code=""S=X10135"" num=""30135"" />",,,,,,
30136,"US ISSUANCE",,,"S=X10136",,"<topic human="""" code=""S=X10136"" num=""30136"" />",,,,,,
30137,"US PRESS",,,"S=X10137",,"<topic human="""" code=""S=X10137"" num=""30137"" />",,,,,,
30138,"US PREVIEW",,,"S=X10138",,"<topic human="""" code=""S=X10138"" num=""30138"" />",,,,,,
30139,"US SPEAKERS",,,"S=X10139",,"<topic human="""" code=""S=X10139"" num=""30139"" />",,,,,,
30140,"US STOCKS",,,"S=AUSSTO",,"<topic human="""" code=""S=AUSSTO"" num=""30140"" />",,,,,,
30141,"U.S. STOCKS",,,"S=AUSSTO",,"<topic human="""" code=""S=AUSSTO"" num=""30141"" />",,,,,,
30142,"UST FUTURES",,,"S=X10142",,"<topic human="""" code=""S=X10142"" num=""30142"" />",,,,,,
30143,"USTS",,,"S=X10143",,"<topic human="""" code=""S=X10143"" num=""30143"" />",,,,,,
30144,"YEN SUMMARY",,,"S=XJPYEN",,"<topic human="""" code=""S=XJPYEN"" num=""30144"" />",,,,,,
30145,"WASHINGTON",,,"S=X10145",,"<topic human="""" code=""S=X10145"" num=""30145"" />",,,,,,
30146,"CANADA",,,"S=X10146",,"<topic human="""" code=""S=X10146"" num=""30146"" />",,,,,,
30147,"STERLING SUMMARY",,,"S=X10147",,"<topic human="""" code=""S=X10147"" num=""30147"" />",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Comment: Prior to 2/09/07, MX$$$$ (Exclusives) mapped to 40022 and M$X$$$$ (Europe News) mapped to 40000.",,,,,,,,,,,,
,,,,,,"<topic human=""US Government News - General"" code=""MGU$$$"" num=""40010"" />",,,,,,
40000,"Exclusives",,"MX$$$$=40000:100","MX$$$$",,"<topic human=""Exclusives"" code=""MX$$$$"" num=""40000"" />",,,,,,
40001,"US News",,"M$U$$$=40001:100","M$U$$$",,"<topic human=""US News"" code=""M$U$$$"" num=""40001"" />",,,,,,
40002,"Top News Stories",,"MT$$$$=40002:100","MT$$$$",,"<topic human=""Top News Stories"" code=""MT$$$$"" num=""40002"" />",,,,,,
40003,"German News",,"M$G$$$=40003:100","M$G$$$",,"<topic human=""German News"" code=""M$G$$$"" num=""40003"" />",,,,,,
40004,"US Data Tables",,"MAUDT$=40004:100","MAUDT$",,"<topic human=""US Data Tables"" code=""MAUDT$"" num=""40004"" />",,,,,,
40005,"International Economy",,"MI$$$$=40005:100","MI$$$$","???","<topic human=""International Economy"" code=""MI$$$$"" num=""40005"" />",,,,,,
40006,"UK News",,"M$B$$$=40006:100","M$B$$$",,"<topic human=""UK News"" code=""M$B$$$"" num=""40006"" />",,,,,,
40007,"Europe Data Stories",,"M$XDS$=40007:100","M$XDS$",,"<topic human=""Europe Data Stories"" code=""M$XDS$"" num=""40007"" />",,,,,,
40008,"Fixed Income General",,"M$$FI$=40008:100","M$$FI$",,"<topic human=""Fixed Income General"" code=""M$$FI$"" num=""40008"" />",,,,,,
40009,"Italian News",,"M$I$$$=40009:100","M$I$$$",,"<topic human=""Italian News"" code=""M$I$$$"" num=""40009"" />",,,,,,
40010,"US Government - General",,"MGU$$$=40010:100","MGU$$$",,"<topic human=""US Government - General"" code=""MGU$$$"" num=""40010"" />",,,,,,
40011,"US Government - Fiscal Policy",,"MFU$$$=40011:100","MFU$$$",,"<topic human=""US Government - Fiscal Policy"" code=""MFU$$$"" num=""40011"" />",,,,,,
40012,"French News",,"M$F$$$=40012:100","M$F$$$",,"<topic human=""French News"" code=""M$F$$$"" num=""40012"" />",,,,,,
40013,"ECB/EMU Central Bank News",,"M$$EC$=40013:100","M$$EC$",,"<topic human=""ECB/EMU Central Bank News"" code=""M$$EC$"" num=""40013"" />",,,,,,
40014,"US Data Stories",,"MAUDS$=40014:100","MAUDS$",,"<topic human=""US Data Stories"" code=""MAUDS$"" num=""40014"" />",,,,,,
40015,"FX General",,"M$$FX$=40015:100","M$$FX$",,"<topic human=""FX General"" code=""M$$FX$"" num=""40015"" />",,,,,,
40016,"Germany Data Tables",,"MAGDT$=40016:100","MAGDT$",,"<topic human=""Germany Data Tables"" code=""MAGDT$"" num=""40016"" />",,,,,,
40017,,,"","M$BDS$",,"<topic human="""" code=""M$BDS$"" num=""40017"" />",,,,,,
40018,"US Data ",,"MAUDA$=40018:100","MAUDA$",,"<topic human=""US Data "" code=""MAUDA$"" num=""40018"" />",,,,,,
40019,"Spanish News",,"M$S$$$=40019:100","M$S$$$",,"<topic human=""Spanish News"" code=""M$S$$$"" num=""40019"" />",,,,,,
40020,"Europe Data Tables",,"MAXDT$=40020:100","MAXDT$",,"<topic human=""Europe Data Tables"" code=""MAXDT$"" num=""40020"" />",,,,,,
40021,"Federal Reserve (General)",,"MMUFE$=40021:100","MMUFE$",,"<topic human=""Federal Reserve (General)"" code=""MMUFE$"" num=""40021"" />",,,,,,
40022,"Europe News","F","M$X$$$=40022:100","M$X$$$",,"<topic human=""Europe News"" code=""M$X$$$"" num=""40022"" />",,,,,,
40023,"Bank of England ",,"M$$BE$=40023:100","M$$BE$","???","<topic human=""Bank of England "" code=""M$$BE$"" num=""40023"" />",,,,,,
40024,"OPEC (?????)",,"MI$OI$=40024:100","MI$OI$",,"<topic human=""OPEC (?????)"" code=""MI$OI$"" num=""40024"" />",,,,,,
40025,"Canada Data",,"MACDA$=40025:100","MACDA$",,"<topic human=""Canada Data"" code=""MACDA$"" num=""40025"" />",,,,,,
40026,"Germany Data Stories",,"MAGDS$=40026:100","MAGDS$",,"<topic human=""Germany Data Stories"" code=""MAGDS$"" num=""40026"" />",,,,,,
40027,"Credit Ratings",,"MR$$$$=40027:100","MR$$$$",,"<topic human=""Credit Ratings"" code=""MR$$$$"" num=""40027"" />",,,,,,
40028,"Asia News Stories",,"M$A$$$=40028:100","M$A$$$","???","<topic human=""Asia News Stories"" code=""M$A$$$"" num=""40028"" />",,,,,,
40029,,,"","MAIPR$",,"<topic human="""" code=""MAIPR$"" num=""40029"" />",,,,,,
40030,"Italy Data Tables",,"MAIDT$=40030:100","MAIDT$",,"<topic human=""Italy Data Tables"" code=""MAIDT$"" num=""40030"" />",,,,,,
40031,"Latin America Government",,"MGT$$$=40031:100","MGT$$$",,"<topic human=""Latin America Government"" code=""MGT$$$"" num=""40031"" />",,,,,,
40032,"Agencies - Market Trading",,"MN$AG$=40032:100","MN$AG$",,"<topic human=""Agencies - Market Trading"" code=""MN$AG$"" num=""40032"" />",,,,,,
40033,,,"","MASPR$",,"<topic human="""" code=""MASPR$"" num=""40033"" />",,,,,,
40034,"Top Stories Recap",,"MNSTNB=40034:100","MNSTNB",,"<topic human=""Top Stories Recap"" code=""MNSTNB"" num=""40034"" />",,,,,,
40035,"US News Briefs",,"MBU$$$=40035:100","MBU$$$",,"<topic human=""US News Briefs"" code=""MBU$$$"" num=""40035"" />",,,,,,
40036,,,"","MACRE$",,"<topic human="""" code=""MACRE$"" num=""40036"" />",,,,,,
40037,"Japanese News",,"M$J$$$=40037:100","M$J$$$",,"<topic human=""Japanese News"" code=""M$J$$$"" num=""40037"" />",,,,,,
40038,"Corporate Debt",,"MN$CO$=40038:100","MN$CO$",,"<topic human=""Corporate Debt"" code=""MN$CO$"" num=""40038"" />",,,,,,
40039,"Germany Data",,"MAGDA$=40039:100","MAGDA$",,"<topic human=""Germany Data"" code=""MAGDA$"" num=""40039"" />",,,,,,
40040,"France Data Tables",,"MAFDT$=40040:100","MAFDT$",,"<topic human=""France Data Tables"" code=""MAFDT$"" num=""40040"" />",,,,,,
40041,"Latin American Fiscal Policy",,"MFT$$$=40041:100","MFT$$$",,"<topic human=""Latin American Fiscal Policy"" code=""MFT$$$"" num=""40041"" />",,,,,,
40042,"*****INVALID*****",,,"MADS$",,"<topic human=""*****INVALID*****"" code=""MADS$"" num=""40042"" />",,,,,,
40043,"US Stock Market Trading",,"MNUEQ$=40043:100","MNUEQ$",,"<topic human=""US Stock Market Trading"" code=""MNUEQ$"" num=""40043"" />",,,,,,
40044,"Italy Data Stories",,"MAIDS$=40044:100","MAIDS$",,"<topic human=""Italy Data Stories"" code=""MAIDS$"" num=""40044"" />",,,,,,
40045,"France Data Stories",,"MAFDS$=40045:100","MAFDS$",,"<topic human=""France Data Stories"" code=""MAFDS$"" num=""40045"" />",,,,,,
40046,,,"","MAUCB$",,"<topic human="""" code=""MAUCB$"" num=""40046"" />",,,,,,
40047,"US Stock Market",,"M$UEQ$=40047:100","M$UEQ$",,"<topic human=""US Stock Market"" code=""M$UEQ$"" num=""40047"" />",,,,,,
40048,,,"","MAURC$",,"<topic human="""" code=""MAURC$"" num=""40048"" />",,,,,,
40049,"Agencies",,"M$$AG$=40049:100","M$$AG$",,"<topic human=""Agencies"" code=""M$$AG$"" num=""40049"" />",,,,,,
40050,,,"","M$$EQ$",,"<topic human="""" code=""M$$EQ$"" num=""40050"" />",,,,,,
40051,"France Data ",,"MAFDA$=40051:100","MAFDA$",,"<topic human=""France Data "" code=""MAFDA$"" num=""40051"" />",,,,,,
40052,"Europe Data",,"MAXDA$=40052:100","MAXDA$",,"<topic human=""Europe Data"" code=""MAXDA$"" num=""40052"" />",,,,,,
40053,,,"","M$N$$$",,"<topic human="""" code=""M$N$$$"" num=""40053"" />",,,,,,
40054,"Canadian News",,"M$C$$$=40054:100","M$C$$$",,"<topic human=""Canadian News"" code=""M$C$$$"" num=""40054"" />",,,,,,
40055,"Mexico Data Stories",,"MAMDS$=40055:100","MAMDS$",,"<topic human=""Mexico Data Stories"" code=""MAMDS$"" num=""40055"" />",,,,,,
40056,"Italy Data ",,"MAIDA$=40056:100","MAIDA$",,"<topic human=""Italy Data "" code=""MAIDA$"" num=""40056"" />",,,,,,
40057,,,"","MAU1M$",,"<topic human="""" code=""MAU1M$"" num=""40057"" />",,,,,,
40058,"FX Trading",,"MN$FX$=40058:100","MN$FX$",,"<topic human=""FX Trading"" code=""MN$FX$"" num=""40058"" />",,,,,,
40059,,,"","MAXPR$",,"<topic human="""" code=""MAXPR$"" num=""40059"" />",,,,,,
40060,,,"","MAGPR$",,"<topic human="""" code=""MAGPR$"" num=""40060"" />",,,,,,
40061,,,"","MNUAU$",,"<topic human="""" code=""MNUAU$"" num=""40061"" />",,,,,,
40062,"Derivatives",,"M$$DR$=40062:100","M$$DR$",,"<topic human=""Derivatives"" code=""M$$DR$"" num=""40062"" />",,,,,,
40063,,,"","MAXAE$",,"<topic human="""" code=""MAXAE$"" num=""40063"" />",,,,,,
40064,"Spain Data Tables",,"MASDT$=40064:100","MASDT$",,"<topic human=""Spain Data Tables"" code=""MASDT$"" num=""40064"" />",,,,,,
40065,,,"","MAUY0$",,"<topic human="""" code=""MAUY0$"" num=""40065"" />",,,,,,
40066,,,"","MAUOA$",,"<topic human="""" code=""MAUOA$"" num=""40066"" />",,,,,,
40067,,,"","MAUJ1$",,"<topic human="""" code=""MAUJ1$"" num=""40067"" />",,,,,,
40068,,,"","MAUJ0$",,"<topic human="""" code=""MAUJ0$"" num=""40068"" />",,,,,,
40069,,,"","MAU4B$",,"<topic human="""" code=""MAU4B$"" num=""40069"" />",,,,,,
40070,,,"","MAU2B$",,"<topic human="""" code=""MAU2B$"" num=""40070"" />",,,,,,
40071,,,"","MAU1B$",,"<topic human="""" code=""MAU1B$"" num=""40071"" />",,,,,,
40072,,,"","MAU0B$",,"<topic human="""" code=""MAU0B$"" num=""40072"" />",,,,,,
40073,,,"","M$$HE$",,"<topic human="""" code=""M$$HE$"" num=""40073"" />",,,,,,
40074,,,"","MAUV9$",,"<topic human="""" code=""MAUV9$"" num=""40074"" />",,,,,,
40075,,,"","MAUM8$",,"<topic human="""" code=""MAUM8$"" num=""40075"" />",,,,,,
40076,,,"","MAUM7$",,"<topic human="""" code=""MAUM7$"" num=""40076"" />",,,,,,
40077,,,"","MAUM6$",,"<topic human="""" code=""MAUM6$"" num=""40077"" />",,,,,,
40078,,,"","MAUM5$",,"<topic human="""" code=""MAUM5$"" num=""40078"" />",,,,,,
40079,,,"","MAUM4$",,"<topic human="""" code=""MAUM4$"" num=""40079"" />",,,,,,
40080,,,"","MAUM3$",,"<topic human="""" code=""MAUM3$"" num=""40080"" />",,,,,,
40081,,,"","MAUM2$",,"<topic human="""" code=""MAUM2$"" num=""40081"" />",,,,,,
40082,,,"","MAUM1$",,"<topic human="""" code=""MAUM1$"" num=""40082"" />",,,,,,
40083,,,"","MAUM0$",,"<topic human="""" code=""MAUM0$"" num=""40083"" />",,,,,,
40084,,,"","MAU7M$",,"<topic human="""" code=""MAU7M$"" num=""40084"" />",,,,,,
40085,,,"","MAU6M$",,"<topic human="""" code=""MAU6M$"" num=""40085"" />",,,,,,
40086,,,"","MAU5M$",,"<topic human="""" code=""MAU5M$"" num=""40086"" />",,,,,,
40087,,,"","MAU4M$",,"<topic human="""" code=""MAU4M$"" num=""40087"" />",,,,,,
40088,,,"","MAU3M$",,"<topic human="""" code=""MAU3M$"" num=""40088"" />",,,,,,
40089,,,"","MAU3B$",,"<topic human="""" code=""MAU3B$"" num=""40089"" />",,,,,,
40090,,,"","MAU2M$",,"<topic human="""" code=""MAU2M$"" num=""40090"" />",,,,,,
40091,"Spain Data ",,"MASDA$=40091:100","MASDA$",,"<topic human=""Spain Data "" code=""MASDA$"" num=""40091"" />",,,,,,
40092,,,"","MAGAG$",,"<topic human="""" code=""MAGAG$"" num=""40092"" />",,,,,,
40093,,,"","M$EC$$",,"<topic human="""" code=""M$EC$$"" num=""40093"" />",,,,,,
40094,"US Congress",,"MCU$$$=40094:100","MCU$$$",,"<topic human=""US Congress"" code=""MCU$$$"" num=""40094"" />",,,,,,
40095,,,"","MAUOM$",,"<topic human="""" code=""MAUOM$"" num=""40095"" />",,,,,,
40096,,,"","MAUDR$",,"<topic human="""" code=""MAUDR$"" num=""40096"" />",,,,,,
40097,,,"","M$BE$$",,"<topic human="""" code=""M$BE$$"" num=""40097"" />",,,,,,
40098,,,"","MAUY3$",,"<topic human="""" code=""MAUY3$"" num=""40098"" />",,,,,,
40099,,,"","MAGOD$",,"<topic human="""" code=""MAGOD$"" num=""40099"" />",,,,,,
40100,,,"","MAGOC$",,"<topic human="""" code=""MAGOC$"" num=""40100"" />",,,,,,
40101,"Banking News",,"MK$$$$=40101:100","MK$$$$",,"<topic human=""Banking News"" code=""MK$$$$"" num=""40101"" />",,,,,,
40102,"Corporate News - General",,"M$$CO$=40102:100","M$$CO$",,"<topic human=""Corporate News - General"" code=""M$$CO$"" num=""40102"" />",,,,,,
40103,,,"","MAXAN$",,"<topic human="""" code=""MAXAN$"" num=""40103"" />",,,,,,
40104,,,"","MAXAM$",,"<topic human="""" code=""MAXAM$"" num=""40104"" />",,,,,,
40105,,,"","MAGDR$",,"<topic human="""" code=""MAGDR$"" num=""40105"" />",,,,,,
40106,"Latin America News",,"M$T$$$=40106:100","M$T$$$",,"<topic human=""Latin America News"" code=""M$T$$$"" num=""40106"" />",,,,,,
40107,,,"","MAUT3$",,"<topic human="""" code=""MAUT3$"" num=""40107"" />",,,,,,
40108,,,"","M$$OI$",,"<topic human="""" code=""M$$OI$"" num=""40108"" />",,,,,,
40109,,,"","M$FX$$",,"<topic human="""" code=""M$FX$$"" num=""40109"" />",,,,,,
40110,,,"","MAUW1$",,"<topic human="""" code=""MAUW1$"" num=""40110"" />",,,,,,
40111,,,"","MAUG0$",,"<topic human="""" code=""MAUG0$"" num=""40111"" />",,,,,,
40112,,,"","MAIEA$",,"<topic human="""" code=""MAIEA$"" num=""40112"" />",,,,,,
40113,,,"","MAGIB$",,"<topic human="""" code=""MAGIB$"" num=""40113"" />",,,,,,
40114,,,"","MAGIA$",,"<topic human="""" code=""MAGIA$"" num=""40114"" />",,,,,,
40115,,,"","MAGC4$",,"<topic human="""" code=""MAGC4$"" num=""40115"" />",,,,,,
